ISO,Country,Units,Scale,Country/Series-specific Notes,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
BDI,Burundi,U.S. dollars,Billions,,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.456,2.706,3.104,2.96,3.172,3.037,2.968,3.011,3.244,2019
CPV,Cabo Verde,U.S. dollars,Billions,,0.616,0.679,0.891,1.023,1.091,1.237,1.513,1.788,1.698,1.664,1.866,1.742,1.85,1.86,1.597,1.663,1.77,1.967,1.982,1.753,2.003,2019
KHM,Cambodia,U.S. dollars,Billions,,3.992,4.289,4.665,5.334,6.287,7.268,8.63,10.342,10.391,11.232,12.818,14.057,15.228,16.702,18.083,20.043,22.189,24.444,26.728,25.953,27.239,2019
CMR,Cameroon,U.S. dollars,Billions,,10.377,11.588,14.558,17.44,17.974,19.374,22.397,26.514,26.094,26.191,29.37,29.121,32.358,34.999,30.932,32.635,34.997,38.712,38.863,39.02,44.893,2019
CAN,Canada,U.S. dollars,Billions,,738.968,760.149,895.599,"1,026.47","1,173.51","1,319.36","1,468.90","1,552.86","1,376.51","1,617.35","1,793.33","1,828.36","1,846.60","1,805.75","1,556.51","1,528.00","1,649.27","1,721.82","1,741.58","1,643.41","1,883.49",2020
CAF,Central African Republic,U.S. dollars,Billions,,0.899,0.983,1.188,1.31,1.413,1.538,1.755,2.033,2.059,2.141,2.435,2.512,1.692,1.896,1.696,1.825,2.072,2.28,2.277,2.366,2.718,2017
TCD,Chad,U.S. dollars,Billions,,1.936,2.257,3.102,5.003,6.676,7.451,8.687,10.43,9.315,10.701,12.183,12.411,12.994,14.003,10.952,10.202,10.079,11.036,10.934,10.742,12.531,2017
CHL,Chile,U.S. dollars,Billions,,70.971,69.73,75.643,99.226,123,154.864,173.569,179.484,172.526,218.321,252.097,267.021,278.346,260.472,243.888,250.326,276.9,297.436,279.27,252.756,307.938,2020
CHN,China,U.S. dollars,Billions,,"1,333.67","1,465.84","1,656.95","1,949.49","2,290.09","2,754.11","3,555.68","4,577.40","5,088.99","6,033.81","7,492.26","8,539.47","9,625.04","10,524.21","11,113.53","11,227.08","12,265.32","13,841.90","14,340.60","14,722.84","16,642.32",2020
COL,Colombia,U.S. dollars,Billions,,97.566,97.313,94.033,116.335,145.6,161.793,206.23,242.504,232.469,286.499,334.966,370.692,382.094,381.24,293.492,282.72,311.889,334.124,323.375,271.463,295.61,2020
COM,Comoros,U.S. dollars,Billions,,0.373,0.427,0.547,0.622,0.656,0.689,0.796,0.916,0.904,0.909,1.023,1.016,1.116,1.15,0.966,1.013,1.077,1.179,1.19,1.222,1.309,2018
COD,Democratic Republic of the Congo,U.S. dollars,Billions,,7.246,8.72,9.022,10.275,12.069,14.376,16.778,19.548,18.495,21.541,25.853,29.35,32.695,35.911,37.915,36.64,37.615,47.099,50.418,49.077,55.088,2019
COG,Republic of Congo,U.S. dollars,Billions,,3.038,3.33,3.863,5.101,6.654,8.073,8.784,11.649,9.713,13.159,15.653,17.704,17.959,17.918,11.891,10.159,11.11,13.402,12.542,10.232,12.022,2018
CRI,Costa Rica,U.S. dollars,Billions,,15.979,16.584,17.277,18.615,20.049,22.717,26.885,30.802,30.746,37.656,42.762,47.231,50.949,52.017,56.442,58.847,60.517,62.338,63.946,61.45,61.178,2019
CIV,Côte d'Ivoire,U.S. dollars,Billions,,15.485,17.147,21.205,22.924,23.625,24.628,28.158,33.621,33.693,34.431,35.529,37.03,43.228,48.882,45.815,47.964,51.588,58.011,58.539,61.402,70.991,2017
HRV,Croatia,U.S. dollars,Billions,,23.055,26.814,34.682,41.587,45.377,50.423,60.073,70.234,62.6,59.919,62.538,56.581,58.194,57.64,49.526,51.601,55.482,61.375,60.759,56.925,65.217,2019
CYP,Cyprus,U.S. dollars,Billions,,10.397,11.422,14.552,17.328,18.713,20.422,24.082,27.955,26.02,25.753,27.56,24.993,23.9,23.162,19.844,20.947,22.721,25.322,24.953,23.967,26.479,2020
CZE,Czech Republic,U.S. dollars,Billions,,67.809,82.184,100.125,119.815,137.143,156.264,189.988,237.131,207.558,209.07,229.563,208.858,211.686,209.359,188.033,196.272,218.629,248.95,250.686,241.455,276.109,2019
DNK,Denmark,U.S. dollars,Billions,,164.791,178.635,218.097,251.375,264.467,282.886,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.994,302.673,313.116,332.121,356.88,350.104,352.243,392.57,2019
DJI,Djibouti,U.S. dollars,Billions,,0.811,0.837,0.881,0.935,0.995,1.079,1.19,1.381,1.425,1.542,1.739,1.9,2.043,2.216,2.445,2.619,2.767,3.013,3.346,3.408,3.663,2018
DMA,Dominica,U.S. dollars,Billions,,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.502,0.524,0.541,0.575,0.522,0.53,0.579,0.517,0.523,2018
